"","titre","resume","mots.clefs","mots.clefs_nb","auteurs","Auteurs_sexes","auteurs_nb","Annee","Volume","Numero","Periode","rubrique_net1","ident","rubrique_net","auteurs_nbs","langue"
"1","l’évolution démographique récente de la france : situations et comportements des mineurs","Le 1er janvier 2020, la France comptait un peu plus de 67 millions d’habitants dont 14,4 millions avaient moins de 18 ans. Le nombre de naissances (754 000) continue de baisser et le nombre de décès (612 000) d’augmenter. Le solde naturel demeure le principal moteur de l’accroissement démographique. Le flux d’entrées d’étrangers originaires de pays hors de l’Espace économique européen et de la Suisse s’accroît (+ 4,9 % par rapport à 2017, 249 474 personnes en 2018). Un entrant sur dix est mineur. L’indice conjoncturel de fécondité est quasi stable (1,87 enfant par femme en 2019) et l’âge moyen à la maternité continue d’augmenter. Parmi les naissances, 0,5 % sont issues de mères mineures. Le nombre d’IVG (230 000) et l’indice conjoncturel d’IVG (0,58) sont en légère hausse en 2019. Le nombre d’IVG de femmes mineures poursuit en revanche sa baisse et représente désormais 3,5 % des IVG en 2019. Le nombre de mariages (235 000) et le nombre de pacs (209 000) ont augmenté en 2018, toutefois l’écart entre eux s’est encore amenuisé. Les mariages sont toujours plus tardifs en France (35,4 ans pour les femmes et 37,9 ans pour les hommes). En 2018, 2,6 % des mariages sont célébrés entre personnes de même sexe et 4,1 % des pacs. Les remariages sont de plus en plus rares après un divorce ou un veuvage et, en moyenne, chaque divorce concerne moins d’un enfant mineur (0,91). Enfin, l’espérance de vie progresse encore mais à un rythme ralenti. Elle atteint 79,7 ans pour les hommes et 85,6 ans pour les femmes en 2019. La mortalité avant 15 ans est très faible et ces décès sont concentrés dans la première année de vie. La mortalité infantile ne diminue plus en France depuis près de 10 ans, contrairement à de nombreux autres pays européens.","France; conjoncture démographique; migration; fécondité; IVG; mariage; pacs; union libre; divorce; séparations; couple de même sexe; vieillissement; mortalité; cause de mortalité; mineurs; enfance",16,"Didier Breton; Magali Barbieri; Nicolas Belliot; Hippolyte d’Albis; Magali Mazuy","MixteS",5,2020,75,4,"(2010,2020]","la conjoncture démographique",2,"article","4+","fr"
"2","quitter l’aide sociale à l’enfance","En France, 138 000 enfants ou adolescents sont pris en charge par l’Aide sociale à l’enfance (ASE) au titre de l’enfance en danger, soit 1,6 % des mineurs. Si les jeunes entrent dans le dispositif à des âges très variés, tous doivent en revanche en sortir à 18 ans, âge de fin de la prise en charge légale, ou à 21 ans maximum s’ils obtiennent un contrat jeune majeur. Ils doivent alors subvenir eux-mêmes à leurs besoins et ne peuvent plus dépendre de l’ASE pour se loger. À partir des données de l’enquête Elap (Étude longitudinale sur l’accès à l’autonomie après le placement) et d’entretiens qualitatifs, cet article explore les modalités et le vécu de la sortie de placement sur le plan résidentiel. Alors que les jeunes ont souffert précocement de la précarité du logement, le départ programmé de l’institution est une nouvelle source d’insécurité résidentielle, qui génère stress et angoisse. Par ailleurs, l’intégration sur le marché immobilier s’effectue de façon inégale. Ceux qui ont accepté de jouer le jeu de l’institution et ne sont pas sortis du circuit institutionnel réussissent à intégrer les meilleurs hébergements, puis un logement autonome. Au contraire, les jeunes qui ne parviennent pas ou ne souhaitent pas se plier aux contraintes institutionnelles sont les plus exposés à la précarité résidentielle à l’issue de leur prise en charge.","Aide sociale à l’enfance; jeunes; précarité résidentielle; expulsion; logement; catégories populaires; France",7,"Pascale Dietrich-Ragon","Femme",1,2020,75,4,"(2010,2020]","la conjoncture démographique",3,"article","1","fr"
"3","prise en compte de la durée et de l’intensité du tabagisme dans l’estimation de la mortalité attribuable au tabac : une nouvelle méthode appliquée au cancer du poumon en france","La méthode canonique d’estimation de la mortalité attribuable au tabac ne prend en compte ni le nombre d’années durant lesquelles l’individu a fumé, ni le temps écoulé depuis l’arrêt le cas échéant. Elle ne permet donc pas de mettre en oeuvre des projections incluant des scénarios alternatifs de modification des comportements d’initiation ou d’arrêt du tabagisme. Cet article propose une nouvelle méthode qui combine, d’une part, les valeurs empiriques provenant de la littérature épidémiologique des effets de la durée (du tabagisme et depuis l’arrêt) sur la mortalité et, d’autre part, les distributions réelles de ces durées dans la population. Cette nouvelle méthode est plus coûteuse en données que la méthode canonique, notamment appliquée dans le cas du cancer du poumon en France en agrégeant des enquêtes transversales répétées (enquêtes « Baromètre Santé » de l’INPES de 1975 à 2010) pour créer des pseudo-cohortes. Selon ce modèle, la mortalité par cancer du poumon augmenterait de 50 % jusqu’en 2035, avant de se stabiliser. Les simulations montrent que diviser par deux le taux d’initiation chez les adolescents sauverait 20 500 vies au cours de la période 2010-2060, alors qu’un doublement du taux de cessation chez les adultes sauverait 53 000 vies sur la même période. Ce travail permet de quantifier l’intuition selon laquelle les interventions et politiques visant à augmenter le sevrage sauveraient plus de vies à moyen terme que celles visant à prévenir l’initiation.","tabagisme; mortalité; simulations; politique publique; France",5,"Michel Grignon; Thomas Renaud; Karine Guerrouche","MixteS",3,2020,75,4,"(2010,2020]","article",4,"article","3","fr"
"4","une perspective malthusinedu repeuplement après l’expulsion des morisques d’espagne, 1610-1800","L’expulsion des Morisques du Royaume d’Aragon en 1610 a vidé de nombreux villages de leurs habitants, que les autorités se sont rapidement efforcées de repeupler en proposant des parcelles « bon marché ». Néanmoins, les nouveaux habitants étant bien moins nombreux que les Morisques expulsés, l’offre de logements et de terres a excédé la demande. Cet article examine le rôle des freins préventifs malthusiens dans ce contexte de faible pression démographique. À l’aide de la méthode de reconstitution des familles qui permet de relier entre elles les micro-données issues des registres paroissiaux, on compare cinq villages repeuplés et trois villages chrétiens voisins n’ayant pas eu de Morisques expulsés. Comme les villages repeuplés affichent un taux d’accroissement de la population plus rapide que les autres villages, on tente de déterminer l’origine de cette différence. Les résultats confirment qu’un assouplissement des freins préventifs malthusiens s’est produit avec l’abaissement de l’âge au mariage et du taux de célibat, conduisant à une augmentation de la fécondité légitime. Cependant, le pourcentage d’émigrants plus important dans les villages repeuplés que dans les autres a freiné la croissance de la population. La situation économique moins favorable dans les villages repeuplés, vérifiée par les testaments, explique sans doute cette tendance.","freins préventifs; Malthus; pression démographique; repeuplement; Morisques; Espagne",6,"Francisco J. Marco-Gracia; Karine Guerrouche","MixteS",2,2020,75,4,"(2010,2020]","article",5,"article","2","fr"
"5","la démographie de l'afrique subsaharienne au xxie siècle","Consacrée à l’Afrique au Sud du Sahara (47 pays, 1,1 milliard d’habitants en 2020), cette chronique propose à la fois une synthèse approfondie des grands changements sociodémographiques et sanitaires survenus dans la région entre 2000 et 2020 et un bilan statistique rassemblant les données récentes les plus fiables sur chaque pays. Y sont examinées les évolutions de la nuptialité et de la famille, de la fécondité et de ses variables intermédiaires, de la mortalité (enfants et adultes), des migrations et de l’urbanisation, des effectifs de population et des structures d’âges, et sont enfin considérées les perspectives de population et les défis à relever d’ici 2050 en matière de formation, santé et emploi. Si l’Afrique conservera tout au long du xxie siècle la croissance démographique la plus élevée et la population la plus jeune du monde, divers changements sont en cours, mais à des rythmes variables selon les régions, les pays, les milieux d’habitat et les groupes sociaux, conduisant à une diversification croissante des régimes démographiques subsahariens et à de fortes inégalités spatiales et sociales. La fécondité vient, dans une majorité de pays, de connaître ses premiers reculs, la pratique contraceptive a augmenté, mais la demande d’enfants demeure élevée. Un peu partout, l’âge à la 1re union progresse, la polygamie recule, mais les écarts d’âges entre époux et les proportions de mariages d’adolescentes demeurent élevés. En revanche, la région dans son ensemble vient de connaître des reculs remarquables de la mortalité, notamment celle des enfants, et des gains notables d’espérances de vie ; le sida recule mais est loin d’avoir disparu, la mortalité maternelle reste très élevée, les maladies non transmissibles progressent et conduisent à un double fardeau épidémiologique. L’Afrique s’urbanise, mais à des rythmes divers, et plus lentement qu’on ne l’imaginait il y a encore 20 ans ; s’y multiplie aussi le nombre de grandes villes et de mégalopoles. Quant aux migrations internationales, en forte progression depuis 2000, si une grande majorité d’entre elles se déroulent toujours à l’intérieur du continent, on assiste à une diversification des destinations et à un recul des modèles traditionnels hors du continent. Enfin, selon l’hypothèse la plus raisonnable des Nations unies, soit un doublement probable de la population d’ici 2050 et plus qu’un triplement possible d’ici 2100, l’Afrique subsaharienne est face à des défis considérables en matière d’éducation, de santé, d’emploi, de sécurité et de développement durable.","Afrique subsaharienne; nuptialité; famille; fécondité; mortalité; migrations; croissance; structure par âge; dividende démographique; inégalités spatiales et sociales",10,"Dominique Tabutin; Bruno Schoumaker","HommeS",2,2020,75,2,"(2010,2020]","chronique",13,"article","2","fr"
"6","mobilité genrée au sénégal","Cet article examine les mouvements de migration interne au Sénégal à l’aide de données individuelles provenant d’une étude représentative sur le plan national réalisée en 2006-2007 et 2010-2012. Ces données sont uniques dans la mesure où elles contiennent les coordonnées GPS des personnes enquêtées lors des deux vagues. Il est alors possible de calculer les distances et de cartographier les déplacements individuels en évitant les problèmes posés par l’utilisation des unités administratives pour définir les migrations. Ces résultats mettent en lumière des comportements de mobilité très différents selon le sexe et confirment leur persistance pendant les dernières décennies. Les femmes sont plus susceptibles de migrer que les hommes, mais vers des destinations rurales plutôt qu’urbaines. Bien que l’instruction augmente les probabilités de migration vers les villes, surtout chez les femmes, la mobilité féminine est essentiellement liée au mariage, tandis que les migrations de travail concernent plus souvent les hommes.","migration internes; inégalités entre les sexes; exode rural; Sénégal; géolocalisation",5,"Isabelle Chort; Philippe de Vreyer; Thomas Zuber; Karine Guerrouche","MixteS",4,2020,75,2,"(2010,2020]","article",14,"article","4+","fr"
"7","le rôle du capital humain prémigratoire dans l’intégration économique des immigrés en france : compétences métier vs compétences transversales","L’objectif de cet article est de différencier le rôle joué par les compétences transversales et les compétences métier accumulées à l’étranger, sur les chances d’accéder à un emploi en France, ainsi que sur l’adéquation de cet emploi et du niveau de salaire avec les compétences prémigratoires. Pour quantifier l’impact de la transférabilité du capital humain, les données de l’enquête Trajectoires et Origines (2008) sont utilisées. Le capital humain prémigratoire joue un rôle important aussi bien sur les chances d’accès à un emploi, que pour le maintien ou la progression de la position socioprofessionnelle, ainsi que pour la rémunération des immigrés. En utilisant plusieurs indicateurs d’intégration des immigrés, quantitatifs et qualitatifs, on s’aperçoit qu’à l’exception des compétences linguistiques, les autres compétences transversales ne jouent pas le rôle attendu en tant que vecteur d’intégration. À l’inverse, les compétences métier permettent une meilleure intégration économique. Par ailleurs, les effets négatifs d’un faible niveau de transférabilité des compétences métier sur l’intégration économique se maintiennent.","immigration; intégration économique; capital humain prémigratoire; France",4,"Nadiya Ukrayinchuk; Xavier Chojnicki","MixteS",2,2020,75,2,"(2010,2020]","article",15,"article","2","fr"
"8","déchiffrer la grippe russe quand une pandémie devient un événement statistique (1889-1893)","L’usage des chiffres pour décrire l’ampleur de l’épidémie de grippe constitue une innovation savante à la fin du xixe siècle en France. L’article décrit le rôle de statisticiens français comme Jacques Bertillon et Victor Turquan dans la mise à jour des chiffres témoignant de la gravité de la grippe de 1889-1890, grâce au calcul de la surmortalité sur la période. Les études statistiques réalisées entre 1890 et 1893 ont non seulement produit un bilan de mortalité inédit pour le pays à l’échelle du siècle, mais aussi apporté un argument décisif à l’hypothèse de contagiosité de la maladie. Ils ont confirmé les informations fournies par la nouvelle presse de l’époque, qui avait la première suivi la propagation de la pandémie grâce au réseau de télégraphe. Au niveau politique, ces nouveaux savoirs statistiques sur la pandémie ont pourtant été relégués au rôle d’accident de la mortalité nationale, face à la tendance inquiétante de dépopulation nationale à la fin du xixe siècle. Parce qu’elle saisit la grippe indissociablement de ses complications, le succès de la mesure des épisodes grippaux par la surmortalité ne s’est pas démenti depuis.","grippe russe; statistique; surmortalité; pandémie; épidémie; épidémiologie; Jacques Bertillon; Paul Roux; Victor Turquan; France",10,"Frédéric Vagneron","Homme",1,2020,75,2,"(2010,2020]","article",16,"article","1","fr"
"9","la démographie historique peut-elle tirer profit des données collaboratives des sites de généalogie ?","Les sites qui proposent à leurs utilisateurs de reconstituer en ligne leur arbre généalogique fleurissent sur Internet. Cet article analyse le travail de collecte et de saisie effectué par ces utilisateurs et comment il pourrait être utilisé en démographie historique, afin de compléter la connaissance des générations du passé. Pour cela, les résultats obtenus à partir de la base Geneanet sont confrontés à ceux connus de la littérature, et concernent les enregistrements de 2 457 450 individus français ou d'origine française ayant vécu au xixe siècle. Est ainsi mis en évidence un biais important du rapport de masculinité (sous-représentation des femmes). La fécondité est elle aussi fortement sous-estimée. Quant à la mortalité, (par comparaison aux valeurs historiques), ces données sous-estiment la mortalité des hommes jusqu’à 40 ans environ et celle des femmes jusqu’à 25 ans, puis elles la surestiment. Enfin, la richesse des caractéristiques spatiales contenues dans les arbres généalogiques est également exploitée pour produire de nouvelles données sur les migrations internes au xixe siècle.","généalogie; données collaboratives; fécondité; mortalité; migration; démographie historique.",6,"Arthur Charpentier; Ewen Gallic","HommeS",2,2020,75,2,"(2010,2020]","article",17,"article","2","fr"
"10","écarts de fécondité en fonction du niveau d’instruction : le rôle de la religion en grande-bretagne et en france","La fécondité baisse et l’infécondité augmente généralement avec le niveau d’instruction des femmes. On ne sait pas vraiment si un niveau d’études supérieures implique un comportement reproductif identique chez les femmes selon les confessions et les pratiques religieuses. Cette étude utilise des données issues de l’Enquête par panel auprès des ménages britanniques (BHPS) et du volet français de l’enquête Generations and Gender (GGS) ou Erfi, afin d’explorer les interactions entre la religion (mesurée par la pratique, l’appartenance à la religion catholique en France, au protestantisme et au catholicisme en Grande-Bretagne), le niveau d’instruction et la fécondité des femmes nées entre les années 1920 et 1960. En Grande-Bretagne, un niveau d’études élevé diminue plus souvent les probabilités de maternité chez les femmes appartenant à une religion que les autres, qu’elles soient ou non pratiquantes (cet effet d’interaction n’est pas retrouvé en France). Mais dans les deux pays, la religiosité atténue la relation négative entre le niveau d’instruction et la taille des familles. Alors que, pour les femmes sans appartenance religieuse, la relation est globalement négative, on constate une relation en U chez les catholiques pratiquantes. Les disparités de descendance finale selon l’appartenance et la pratique religieuses sont plus prononcées chez les femmes les plus instruites, certainement à cause de perceptions différentes de la valeur et du coût des enfants.","religion; religiosité; fécondité; instruction; infécondité; France; Grande-Bretagne",7,"Nitzan Peri Rotem","Homme",1,2020,75,1,"(2010,2020]","article",26,"article","1","fr"
